content,label
"URGENT: You've won $1,000,000! Click here to claim your prize!",1
CONGRATULATIONS! You're our lucky winner! Claim your prize now!,1
Special offer: Buy now and get 90% off! Limited time only!,1
Your account has been suspended. Click here to verify your details.,1
"You've inherited $5,000,000 from a distant relative. Contact us now!",1
Your package delivery failed. Click here to reschedule.,1
Your bank account has been compromised. Verify your details immediately.,1
Special discount: Buy one get three free! Limited stock!,1
Your subscription has expired. Click here to renew.,1
You've been selected for a special offer. Don't miss out!,1
"Hi, can we schedule a meeting for tomorrow?",0
Please find attached the project report for your review.,0
Thank you for your email. I'll get back to you soon.,0
The team meeting is scheduled for 2 PM today.,0
Here's the updated schedule for next week.,0
Please review the document and provide your feedback.,0
The project deadline has been extended to next Friday.,0
Thank you for your contribution to the team.,0
The client meeting went well. Here's the summary.,0
Please submit your timesheet by the end of the day.,0
